"pr_rem";"group";"variant";"value"
100;"amphibians";"global2000";100
99.962;"amphibians";"global2000";100
99.927;"amphibians";"global2000";100
99.894;"amphibians";"global2000";100
99.861;"amphibians";"global2000";100
99.827;"amphibians";"global2000";100
99.799;"amphibians";"global2000";100
99.796;"amphibians";"global2000";100
99.79;"amphibians";"global2000";100
99.782;"amphibians";"global2000";100
99.776;"amphibians";"global2000";100
99.772;"amphibians";"global2000";100
99.767;"amphibians";"global2000";100
99.763;"amphibians";"global2000";100
99.758;"amphibians";"global2000";100
99.753;"amphibians";"global2000";100
99.744;"amphibians";"global2000";100
99.738;"amphibians";"global2000";100
99.732;"amphibians";"global2000";100
99.725;"amphibians";"global2000";100
99.718;"amphibians";"global2000";100
99.707;"amphibians";"global2000";100
99.699;"amphibians";"global2000";100
99.69;"amphibians";"global2000";100
99.68;"amphibians";"global2000";100
99.669;"amphibians";"global2000";100
99.661;"amphibians";"global2000";100
99.653;"amphibians";"global2000";100
99.645;"amphibians";"global2000";100
99.633;"amphibians";"global2000";100
99.625;"amphibians";"global2000";100
99.616;"amphibians";"global2000";100
99.608;"amphibians";"global2000";100
99.599;"amphibians";"global2000";100
99.59;"amphibians";"global2000";100
99.584;"amphibians";"global2000";100
99.577;"amphibians";"global2000";100
99.569;"amphibians";"global2000";100
99.558;"amphibians";"global2000";100
99.55;"amphibians";"global2000";100
99.542;"amphibians";"global2000";100
99.535;"amphibians";"global2000";100
99.524;"amphibians";"global2000";100
99.517;"amphibians";"global2000";100
99.509;"amphibians";"global2000";100
99.503;"amphibians";"global2000";100
99.495;"amphibians";"global2000";100
99.484;"amphibians";"global2000";100
99.477;"amphibians";"global2000";100
99.469;"amphibians";"global2000";100
99.463;"amphibians";"global2000";100
99.452;"amphibians";"global2000";100
99.443;"amphibians";"global2000";100
99.434;"amphibians";"global2000";100
99.424;"amphibians";"global2000";100
99.413;"amphibians";"global2000";100
99.4;"amphibians";"global2000";100
99.387;"amphibians";"global2000";100
99.374;"amphibians";"global2000";100
99.36;"amphibians";"global2000";100
99.347;"amphibians";"global2000";100
99.333;"amphibians";"global2000";100
99.318;"amphibians";"global2000";100
99.304;"amphibians";"global2000";100
99.291;"amphibians";"global2000";100
99.277;"amphibians";"global2000";100
99.26;"amphibians";"global2000";100
99.246;"amphibians";"global2000";100
99.229;"amphibians";"global2000";100
99.215;"amphibians";"global2000";100
99.198;"amphibians";"global2000";100
99.177;"amphibians";"global2000";100
99.16;"amphibians";"global2000";100
99.145;"amphibians";"global2000";100
99.128;"amphibians";"global2000";100
99.112;"amphibians";"global2000";100
99.095;"amphibians";"global2000";100
99.082;"amphibians";"global2000";100
99.067;"amphibians";"global2000";100
99.052;"amphibians";"global2000";100
99.037;"amphibians";"global2000";100
99.022;"amphibians";"global2000";100
99.009;"amphibians";"global2000";100
98.994;"amphibians";"global2000";100
98.983;"amphibians";"global2000";100
98.968;"amphibians";"global2000";100
98.954;"amphibians";"global2000";100
98.94;"amphibians";"global2000";100
98.925;"amphibians";"global2000";100
98.907;"amphibians";"global2000";100
98.893;"amphibians";"global2000";100
98.877;"amphibians";"global2000";100
98.863;"amphibians";"global2000";100
98.847;"amphibians";"global2000";100
98.831;"amphibians";"global2000";100
98.816;"amphibians";"global2000";100
98.803;"amphibians";"global2000";100
98.787;"amphibians";"global2000";100
98.772;"amphibians";"global2000";100
98.757;"amphibians";"global2000";100
98.741;"amphibians";"global2000";100
98.721;"amphibians";"global2000";100
98.698;"amphibians";"global2000";100
98.672;"amphibians";"global2000";100
98.646;"amphibians";"global2000";100
98.622;"amphibians";"global2000";100
98.597;"amphibians";"global2000";100
98.573;"amphibians";"global2000";100
98.548;"amphibians";"global2000";100
98.522;"amphibians";"global2000";100
98.502;"amphibians";"global2000";100
98.476;"amphibians";"global2000";100
98.449;"amphibians";"global2000";100
98.419;"amphibians";"global2000";100
98.39;"amphibians";"global2000";100
98.361;"amphibians";"global2000";100
98.334;"amphibians";"global2000";100
98.304;"amphibians";"global2000";100
98.276;"amphibians";"global2000";100
98.247;"amphibians";"global2000";100
98.217;"amphibians";"global2000";100
98.188;"amphibians";"global2000";100
98.159;"amphibians";"global2000";100
98.129;"amphibians";"global2000";100
98.101;"amphibians";"global2000";100
98.072;"amphibians";"global2000";100
98.043;"amphibians";"global2000";100
98.018;"amphibians";"global2000";100
97.996;"amphibians";"global2000";100
97.976;"amphibians";"global2000";100
97.954;"amphibians";"global2000";100
97.929;"amphibians";"global2000";100
97.904;"amphibians";"global2000";100
97.881;"amphibians";"global2000";100
97.858;"amphibians";"global2000";100
97.835;"amphibians";"global2000";100
97.812;"amphibians";"global2000";100
