Prop_lost,Felidae,Ursidae,Ailuridae,Canidae,Mustelidae,Viverridae,Otaridaee,Herpestidae,Procyonidae,Mephitidae,Hyaenidae,Eupleridae,Phocidae,Nandiniidae,Obobenidae,Prionodontidae,Dasyuridae,Myrmecobidae
0,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00115,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00229,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00344,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.0042,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00459,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00497,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00573,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00612,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00688,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00726,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00765,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00803,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00841,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00917,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.00956,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01032,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.0107,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01147,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01185,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01261,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01338,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01376,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01453,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01491,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01567,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01606,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.8175,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01682,0.829,0.844,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01758,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01835,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01911,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.01988,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02064,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02141,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02217,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02294,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.0237,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02446,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02485,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02561,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.81725,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02638,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02714,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02791,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02867,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.02943,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.0302,0.829,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
0.03096,0.8285,0.84375,0.87,0.83575,0.74025,0.6885,0.9495,0.75525,0.79825,0.70475,0.817,0.88425,0.982,0.7365,0.9965,0.734,0.916,0.5975
