Prop_lost,median1,median2,median3,median4,median5,median6
0,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00115,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00229,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00344,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00459,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00573,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00688,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00803,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.00917,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01032,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0107,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01109,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01147,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01223,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.013,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01338,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01414,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01453,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01491,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01529,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01567,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01644,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0172,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01758,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01835,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.01873,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0195,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02026,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02064,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02141,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02217,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02294,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0237,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02446,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02523,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02599,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02676,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02791,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02867,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.02943,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0302,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03058,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03135,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03211,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03287,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03364,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0344,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03517,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03593,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0367,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03746,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03823,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03899,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.03976,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04052,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04128,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04243,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0432,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04396,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04472,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04511,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04587,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04664,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.0474,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04778,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.04855,0.81775,0.8405,0.778,0.88675,0.8135,0.819
