Prop_lost,median1,median2
0,0.84,0.8215
0.00115,0.84,0.8215
0.00229,0.84,0.8215
0.00344,0.84,0.8215
0.00459,0.84,0.8215
0.00573,0.84,0.8215
0.00688,0.84,0.8215
0.00803,0.84,0.8215
0.00917,0.84,0.8215
0.01032,0.84,0.8215
0.0107,0.84,0.8215
0.01109,0.84,0.8215
0.01147,0.84,0.8215
0.01223,0.84,0.8215
0.013,0.84,0.8215
0.01338,0.84,0.8215
0.01414,0.84,0.8215
0.01453,0.84,0.8215
0.01491,0.84,0.8215
0.01529,0.84,0.8215
0.01567,0.84,0.8215
0.01644,0.84,0.8215
0.0172,0.84,0.8215
0.01758,0.84,0.8215
0.01835,0.84,0.8215
0.01873,0.84,0.8215
0.0195,0.84,0.8215
0.02026,0.84,0.8215
0.02064,0.84,0.8215
0.02141,0.84,0.8215
0.02217,0.84,0.8215
0.02294,0.84,0.8215
0.0237,0.84,0.8215
0.02446,0.84,0.8215
0.02523,0.84,0.8215
0.02599,0.84,0.8215
0.02676,0.84,0.8215
0.02791,0.84,0.8215
0.02867,0.84,0.8215
0.02943,0.84,0.8215
0.0302,0.84,0.8215
0.03058,0.84,0.8215
0.03135,0.84,0.8215
0.03211,0.84,0.8215
0.03287,0.84,0.8215
0.03364,0.84,0.8215
0.0344,0.84,0.8215
0.03517,0.84,0.8215
0.03593,0.84,0.8215
0.0367,0.84,0.8215
0.03746,0.84,0.8215
0.03823,0.84,0.8215
0.03899,0.84,0.8215
0.03976,0.84,0.8215
0.04052,0.84,0.8215
0.04128,0.84,0.8215
0.04243,0.84,0.8215
0.0432,0.84,0.8215
0.04396,0.84,0.8215
0.04472,0.84,0.8215
0.04511,0.84,0.8215
0.04587,0.84,0.8215
0.04664,0.84,0.8215
0.0474,0.84,0.8215
0.04778,0.84,0.8215
0.04855,0.84,0.8215
0.04931,0.84,0.8215
0.04969,0.84,0.8215
0.05046,0.84,0.82125
0.05122,0.84,0.82125
0.05199,0.84,0.82125
0.05275,0.84,0.82125
0.05352,0.84,0.82125
0.05428,0.84,0.82125
0.05505,0.84,0.82125
0.05543,0.84,0.82125
0.05619,0.84,0.82125
0.05696,0.84,0.82125
0.05772,0.84,0.82125
0.05887,0.84,0.82125
0.05963,0.84,0.82125
0.06078,0.84,0.82125
0.06154,0.84,0.82125
0.06231,0.84,0.82125
0.06346,0.84,0.82125
0.06422,0.84,0.82125
0.06498,0.84,0.82125
0.06575,0.84,0.82125
0.06651,0.84,0.82125
0.06728,0.84,0.82125
0.06843,0.84,0.82125
0.06919,0.84,0.82125
0.06995,0.84,0.82125
0.0711,0.84,0.82125
0.07187,0.84,0.82125
0.07301,0.84,0.82125
0.07378,0.84,0.82125
0.07492,0.84,0.82125
0.07569,0.84,0.82125
0.07683,0.84,0.82125
0.0776,0.84,0.82125
0.07875,0.84,0.82125
0.07951,0.84,0.82125
0.08028,0.84,0.82125
0.08104,0.84,0.82125
0.0818,0.84,0.82125
0.08295,0.84,0.82125
0.08372,0.84,0.82125
0.08448,0.84,0.82125
0.08524,0.84,0.82125
0.08601,0.84,0.82125
0.08677,0.84,0.821
0.08754,0.84,0.821
0.0883,0.84,0.821
0.08907,0.84,0.821
0.09021,0.84,0.821
0.09098,0.84,0.821
0.09174,0.84,0.821
0.09251,0.84,0.821
0.09327,0.84,0.821
0.09404,0.84,0.821
0.0948,0.84,0.821
0.09557,0.84,0.821
0.09633,0.84,0.821
0.09709,0.84,0.821
0.09786,0.84,0.821
0.09862,0.84,0.821
0.09939,0.84,0.821
0.10015,0.84,0.821
0.10092,0.84,0.821
0.10168,0.84,0.821
0.10245,0.84,0.821
0.10321,0.84,0.821
0.10398,0.84,0.821
0.10474,0.83975,0.821
0.1055,0.83925,0.821
0.10627,0.83875,0.821
0.10703,0.838,0.821
0.10818,0.8375,0.821
0.10894,0.83675,0.821
0.10971,0.83625,0.821
0.11047,0.8355,0.821
0.11124,0.835,0.821
0.112,0.8345,0.821
0.11277,0.8335,0.821
0.11353,0.83275,0.821
0.1143,0.83175,0.821
0.11506,0.83125,0.821
0.11621,0.83075,0.821
0.11697,0.83075,0.821
0.11774,0.83075,0.821
0.1185,0.8305,0.821
0.11927,0.83025,0.821
0.12003,0.83,0.821
0.12118,0.8295,0.821
0.12194,0.829,0.821
0.12309,0.8285,0.821
0.12385,0.828,0.821
0.125,0.82775,0.821
0.12576,0.8275,0.821
0.12691,0.827,0.821
0.12806,0.827,0.821
0.12882,0.827,0.821
0.12997,0.82675,0.821
0.13073,0.82675,0.821
0.13188,0.8265,0.821
0.13265,0.82625,0.821
0.13341,0.82625,0.821
0.13417,0.82625,0.821
0.13494,0.826,0.821
0.1357,0.826,0.821
0.13685,0.826,0.821
0.13761,0.82575,0.821
0.13838,0.82575,0.821
0.13953,0.8255,0.821
0.14029,0.8255,0.821
0.14106,0.82525,0.821
0.14182,0.82525,0.821
0.14258,0.82525,0.821
0.14373,0.82525,0.821
0.1445,0.825,0.821
0.14526,0.825,0.821
0.14602,0.825,0.821
0.14717,0.825,0.821
0.14794,0.825,0.821
0.1487,0.8245,0.821
0.14985,0.8245,0.821
0.15061,0.82425,0.82075
0.15176,0.824,0.82075
0.15252,0.824,0.82075
0.15367,0.824,0.8205
0.15443,0.824,0.8205
0.15558,0.824,0.8205
0.15635,0.824,0.8205
0.15749,0.824,0.8205
0.15826,0.824,0.8205
0.1594,0.824,0.8205
0.16017,0.824,0.8205
0.16131,0.82375,0.8205
0.16208,0.82375,0.8205
0.16323,0.82375,0.8205
0.16399,0.8235,0.8205
0.16514,0.82325,0.8205
0.1659,0.82325,0.82
0.16667,0.82325,0.8195
0.16781,0.82325,0.819
0.16858,0.82325,0.81875
0.16972,0.82325,0.81875
0.17049,0.82325,0.81875
0.17164,0.82325,0.81875
0.1724,0.82325,0.81875
0.17355,0.82325,0.81875
0.17431,0.82325,0.81875
0.17546,0.82325,0.81875
0.17622,0.82325,0.81875
0.17737,0.82325,0.81875
0.17813,0.82325,0.81875
0.1789,0.82325,0.81875
0.17966,0.82325,0.81875
0.18081,0.82325,0.81875
0.18157,0.82275,0.81875
0.18234,0.82225,0.81875
0.18349,0.82175,0.81875
0.18425,0.821,0.81875
0.18502,0.8205,0.81875
0.18616,0.82,0.81875
0.18693,0.8195,0.81875
0.18769,0.819,0.81875
0.18884,0.81825,0.81875
0.1896,0.8175,0.81875
0.19037,0.817,0.81875
0.19151,0.8165,0.81875
0.19228,0.816,0.81875
0.19343,0.8155,0.81875
