Prop_lost,Felidae,Ursidae,Ailuridae,Canidae,Mustelidae,Viverridae,Otaridaee,Herpestidae,Procyonidae,Mephitidae,Hyaenidae,Eupleridae,Phocidae,Nandiniidae,Obobenidae,Prionodontidae,Dasyuridae,Myrmecobidae
0,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.924,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00115,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.924,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00229,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.924,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00344,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0042,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00459,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00497,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00573,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00612,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00688,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.00726,0.894,0.9025,0.934,0.9015,0.8325,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
