Prop_lost,median1,median2,median3,median4,median5,median6
0,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00115,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00229,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00344,0.925,0.915,0.918,0.9335,0.85,0.9255
0.0042,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00459,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00497,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00573,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00612,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00688,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00726,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00765,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00803,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00841,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00917,0.925,0.915,0.918,0.9335,0.85,0.9255
0.00956,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01032,0.925,0.915,0.918,0.9335,0.85,0.9255
0.0107,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01147,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01185,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01261,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01338,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01376,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01453,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01491,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01567,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01606,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01682,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01758,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01835,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01911,0.925,0.915,0.918,0.9335,0.85,0.9255
0.01988,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02064,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02141,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02217,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02294,0.925,0.915,0.918,0.9335,0.85,0.9255
0.0237,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02446,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02485,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02561,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02638,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02714,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02791,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02867,0.925,0.915,0.918,0.9335,0.85,0.9255
0.02943,0.925,0.915,0.918,0.9335,0.85,0.9255
0.0302,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03096,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03173,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03211,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03287,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03364,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03402,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03479,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03555,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03631,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03708,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03784,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03823,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03899,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.03976,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04052,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04128,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04205,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04243,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04358,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04434,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04511,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04549,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04625,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04702,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04778,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04855,0.9245,0.915,0.918,0.9335,0.85,0.9255
0.04931,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05046,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05122,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05199,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05275,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05352,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05428,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05505,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05581,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05696,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05772,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05849,0.924,0.915,0.918,0.9335,0.85,0.9255
0.05925,0.924,0.915,0.918,0.9335,0.85,0.9255
0.0604,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06116,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06193,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06269,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06346,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06422,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06498,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06575,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06651,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06728,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06804,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06881,0.924,0.915,0.918,0.9335,0.85,0.9255
0.06957,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07034,0.924,0.915,0.918,0.9335,0.85,0.9255
0.0711,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07187,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07263,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07339,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07416,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07492,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07569,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07645,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07722,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07836,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07913,0.924,0.915,0.918,0.9335,0.85,0.9255
0.07989,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08066,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08142,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08219,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08295,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08372,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08448,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08524,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08601,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08677,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08754,0.924,0.915,0.918,0.9335,0.85,0.9255
0.0883,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08907,0.924,0.915,0.918,0.9335,0.85,0.9255
0.08983,0.924,0.915,0.918,0.9335,0.85,0.9255
0.0906,0.924,0.915,0.918,0.9335,0.85,0.9255
0.09136,0.924,0.915,0.918,0.9335,0.85,0.9255
0.09213,0.924,0.915,0.918,0.9335,0.85,0.925
0.09289,0.924,0.915,0.918,0.9335,0.85,0.925
0.09365,0.924,0.915,0.918,0.9335,0.85,0.925
0.09442,0.924,0.915,0.918,0.9335,0.85,0.925
0.0948,0.924,0.915,0.918,0.9335,0.85,0.925
0.09557,0.924,0.915,0.918,0.9335,0.85,0.925
0.09633,0.924,0.915,0.918,0.9335,0.85,0.925
0.09709,0.924,0.915,0.918,0.9335,0.85,0.925
0.09786,0.924,0.915,0.918,0.9335,0.85,0.925
0.09862,0.924,0.915,0.918,0.9335,0.85,0.925
0.09977,0.924,0.915,0.918,0.9335,0.85,0.925
0.10092,0.924,0.915,0.918,0.9335,0.85,0.925
0.10168,0.924,0.915,0.918,0.9335,0.85,0.925
0.10283,0.924,0.915,0.918,0.9335,0.85,0.925
0.10359,0.924,0.915,0.918,0.9335,0.85,0.925
0.10474,0.924,0.915,0.918,0.9335,0.85,0.925
0.1055,0.9235,0.915,0.918,0.9335,0.85,0.925
0.10665,0.9235,0.915,0.918,0.9335,0.85,0.925
0.10742,0.9235,0.915,0.918,0.9335,0.85,0.925
0.10818,0.9235,0.9145,0.918,0.9335,0.85,0.925
0.10894,0.9235,0.9145,0.918,0.9335,0.85,0.925
0.10971,0.9235,0.9145,0.918,0.9335,0.85,0.925
0.11086,0.9235,0.9145,0.918,0.9335,0.85,0.925
0.11162,0.9235,0.9145,0.918,0.9335,0.85,0.925
0.11239,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11315,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11391,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11468,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11544,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11621,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11697,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11812,0.923,0.9145,0.918,0.9335,0.85,0.925
0.11888,0.923,0.9145,0.918,0.9335,0.85,0.925
