Prop_lost,median1,median2
0,0.914,0.9225
0.00115,0.914,0.9225
0.00229,0.914,0.9225
0.00344,0.914,0.9225
0.0042,0.914,0.9225
0.00459,0.914,0.9225
0.00497,0.914,0.9225
0.00573,0.914,0.9225
0.00612,0.914,0.9225
0.00688,0.914,0.9225
0.00726,0.914,0.9225
0.00765,0.914,0.9225
0.00803,0.914,0.9225
0.00841,0.914,0.9225
0.00917,0.914,0.9225
0.00956,0.914,0.9225
0.01032,0.914,0.9225
0.0107,0.914,0.9225
0.01147,0.914,0.9225
0.01185,0.914,0.922
0.01261,0.914,0.922
0.01338,0.914,0.922
0.01376,0.914,0.922
0.01453,0.914,0.922
0.01491,0.914,0.922
0.01567,0.914,0.922
0.01606,0.914,0.922
0.01682,0.914,0.922
0.01758,0.914,0.922
0.01835,0.914,0.922
0.01911,0.914,0.922
0.01988,0.914,0.922
0.02064,0.914,0.922
0.02141,0.914,0.922
0.02217,0.914,0.922
0.02294,0.914,0.922
0.0237,0.914,0.922
0.02446,0.914,0.922
0.02485,0.914,0.922
0.02561,0.914,0.922
0.02638,0.914,0.922
0.02714,0.914,0.922
0.02791,0.914,0.922
0.02867,0.914,0.922
0.02943,0.914,0.922
0.0302,0.914,0.922
0.03096,0.914,0.921
0.03173,0.914,0.921
0.03211,0.914,0.921
0.03287,0.914,0.921
0.03364,0.914,0.921
0.03402,0.914,0.921
0.03479,0.914,0.921
0.03555,0.914,0.921
0.03631,0.914,0.921
0.03708,0.914,0.921
0.03784,0.914,0.921
0.03823,0.914,0.921
0.03899,0.914,0.921
0.03976,0.914,0.921
0.04052,0.914,0.921
0.04128,0.914,0.921
0.04205,0.914,0.921
0.04243,0.914,0.921
0.04358,0.914,0.921
0.04434,0.914,0.921
0.04511,0.914,0.921
0.04549,0.914,0.921
0.04625,0.914,0.921
0.04702,0.914,0.921
0.04778,0.914,0.921
0.04855,0.914,0.921
0.04931,0.914,0.921
0.05046,0.914,0.921
0.05122,0.914,0.921
0.05199,0.914,0.921
0.05275,0.914,0.921
0.05352,0.914,0.921
0.05428,0.914,0.921
0.05505,0.914,0.921
0.05581,0.914,0.921
0.05696,0.914,0.921
0.05772,0.914,0.921
0.05849,0.914,0.921
0.05925,0.914,0.921
0.0604,0.914,0.921
0.06116,0.914,0.921
0.06193,0.914,0.921
0.06269,0.914,0.921
0.06346,0.914,0.921
0.06422,0.914,0.921
0.06498,0.914,0.921
